semana,macro,topic
2011-50,0.4615384615384615,1
2012-4,0.0,1
2012-6,0.4581939799331103,6
2012-8,0.3658536585365854,6
2012-10,0.45470085470085464,6
2012-11,1.0,6
2012-13,0.6011281224818695,6
2012-15,0.4721804511278196,6
2012-17,0.6486246672582077,6
2012-19,0.3816425120772947,6
2012-21,0.4047619047619048,6
2012-23,0.4666666666666666,6
2012-25,0.5482123510292525,6
2012-29,0.46590909090909083,6
2012-30,0.47058823529411764,1
2012-37,0.5497076023391813,6
2012-39,0.4924104432301154,6
2012-41,0.2786885245901639,6
2012-43,0.4774193548387097,6
2012-45,0.45696539485359355,6
2012-46,0.3520114942528736,6
2012-50,0.48508389060185,6
2012-51,0.40344332855093257,6
2013-3,0.6080964685615848,6
2013-6,0.4222222222222223,6
2013-8,0.48235294117647065,6
2013-10,0.6161616161616161,6
2013-12,0.30612244897959184,6
2013-15,0.4065934065934066,6
2013-17,0.41210224308815857,6
2013-19,0.5178494623655914,6
2013-21,0.5254901960784314,6
2013-23,0.33333333333333337,6
2013-25,0.5161701044053986,6
2013-28,0.5024077046548957,6
2013-37,0.4361628709454797,6
2013-39,0.4895833333333333,6
2013-41,0.3449131513647643,6
2013-43,0.49109052031361367,6
2013-45,0.6060606060606062,6
2013-47,0.5065637065637065,6
2013-50,0.4986979166666667,6
2013-51,0.529505582137161,6
2014-7,0.4259395725865881,6
2014-8,0.358974358974359,6
2014-11,0.5498511904761905,1
2014-13,0.4313725490196078,6
2014-15,0.4392156862745098,6
2014-17,0.5396419437340153,6
2014-19,0.47465437788018433,6
2014-20,0.4,6
2014-23,0.5435616438356164,6
2014-25,1.0,6
2014-26,0.4698457223001403,6
2014-28,0.5601503759398496,6
2014-37,0.5268542199488491,6
2014-40,0.4782089552238805,6
2014-42,0.5507246376811594,6
2014-44,0.5555555555555556,6
2014-46,0.3827973653622627,6
2014-48,0.6657450076804916,6
2014-50,0.5063571033720287,6
2014-51,0.49946524064171127,6
2015-7,0.38181818181818183,6
2015-8,0.52,6
2015-11,0.46106442577030815,6
2015-13,0.4427767354596623,6
2015-16,0.4975369458128079,6
2015-18,0.6136363636363638,6
2015-20,0.5575903614457831,6
2015-22,0.58,6
2015-24,0.4642622950819672,6
2015-26,0.43785578747628084,6
2015-28,0.5369565217391304,6
2015-29,0.33333333333333326,1
2015-36,0.49925779317169716,6
2015-37,0.6498145617802069,6
2015-40,0.4875816993464053,6
2015-42,0.46967257112184646,6
2016-2,0.4517813267813267,1
2016-11,0.7984189723320158,6
2016-13,0.5964912280701753,6
2016-15,0.4242424242424242,6
2016-17,0.5333333333333333,6
2016-29,0.39534883720930236,1
2016-39,0.6447368421052633,6
2016-42,0.5333333333333333,6
2016-43,0.6785304247990814,6
2016-47,0.4642857142857143,6
2016-48,0.5164835164835164,6
2016-50,0.5324675324675324,6
2016-51,0.5292652552926526,6
2017-6,0.6279761904761905,6
2017-8,0.5977272727272727,6
2017-10,0.5035897435897435,6
2017-12,0.4423076923076923,6
2017-14,0.6444444444444444,6
2017-17,0.7054436987322894,6
2017-19,0.5301418439716312,6
2017-21,0.5766129032258065,6
2017-24,0.48958333333333337,6
2017-26,0.5679012345679013,6
2017-28,,24
2017-37,0.5530303030303031,6
2017-39,0.5424836601307189,6
2017-41,0.4,6
2017-43,0.22222222222222224,6
2017-45,0.7371794871794872,6
2017-47,0.4588235294117647,6
2017-48,0.7307692307692307,6
2017-50,0.5299145299145299,6
2018-6,0.47014925373134325,6
2018-8,0.6092916984006093,6
2018-10,0.5968841285296982,6
2018-12,0.4726166328600406,6
2018-15,0.7795918367346939,6
2018-17,0.4803921568627451,6
2018-19,0.5517786561264822,6
2018-21,0.5833333333333334,6
2018-23,0.4146341463414634,6
2018-24,0.745906267645398,6
2018-25,0.709090909090909,6
2018-27,0.4,6
2018-37,0.6050632911392405,6
2018-39,0.5665934065934066,6
2018-41,0.48757763975155277,6
2018-43,0.5133437990580848,6
2018-45,0.45705128205128204,6
2018-47,0.6969092721834497,6
2018-50,0.4620334620334621,6
2018-51,0.5568181818181818,6
2018-52,0.7333333333333334,6
2019-4,1.0,1
2019-6,0.5660805445263755,6
2019-8,0.6714471968709257,6
2019-21,0.6595744680851063,1
2019-37,0.6813008130081301,6
2019-49,0.3705092158700406,1
2020-6,1.0,6
2020-7,0.4545454545454546,6
2020-9,0.40816326530612246,6
2020-10,0.35,6
2020-17,0.4,6
2020-19,0.38461538461538464,6
2020-21,0.4,6
2020-23,0.3125,6
2020-25,0.4348607367475291,6
2020-27,0.4503703703703704,6
2020-29,0.375,6
