,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII
1,0.039077764751856196,0.026628283555235697,0.019208911116162766,0.025851547764340396,0.03208123652048886,0.03445589126482556,0.034018935683969964,0.040687554395126196,0.03443946188340807,0.029616129399703837,0.01634877384196185,0.032639233184597584,0.01589825119236884
2,0.013481828839390387,0.007556675062972292,0.007388042736985678,0.008654166204371464,0.013389647735442128,0.008743831702882867,0.011361410381978453,0.02012619669277633,0.010403587443946188,0.012017314044879827,0.004541326067211626,0.01123781193191208,0.006359300476947536
3,0.01992966002344666,0.022070289072807964,0.017617640372812004,0.02130256296460668,0.018421998562185477,0.025192624015236777,0.019784524975514202,0.02154046997389034,0.015964125560538115,0.015776284314842237,0.011807447774750226,0.017269872748306065,0.001589825119236884
4,0.019148104728409537,0.028667386350005996,0.01307115253466697,0.019749251081770777,0.02075844716031632,0.013418751623236084,0.014430297094351943,0.013816362053959965,0.01632286995515695,0.01235903861487641,0.004541326067211626,0.012725169393488679,0.0047694753577106515
5,0.047870261821023836,0.04797888928871297,0.03705387588088202,0.06523909907910795,0.05724299065420561,0.051250973941650076,0.05537055174665361,0.05885552654482158,0.05147982062780269,0.057466681854425335,0.030881017257039057,0.04238968765493307,0.00794912559618442
6,0.023837436498632278,0.019311502938706968,0.016708342805182998,0.01952734938422279,0.020848310567936738,0.013851614578824344,0.012928501469147894,0.013598781549173194,0.012556053811659192,0.015092835174849072,0.012715712988192553,0.013964633944802511,0.0047694753577106515
7,0.05529503712387651,0.048458678181600094,0.040804728347351674,0.05492067014312659,0.06110711718188354,0.0669206129339451,0.07894221351616063,0.05907310704960835,0.062062780269058294,0.07107871055928922,0.022706630336058128,0.04272021153528342,0.03179650238473768
8,0.02481438061742868,0.025548758546239655,0.029552170947942713,0.03572617330522578,0.02219626168224299,0.027097221019825122,0.02742409402546523,0.027523933855526546,0.020807174887892375,0.01748490716482515,0.022706630336058128,0.021318790282597918,0.019077901430842606
9,0.01973427119968738,0.016072927911718844,0.022732439190725165,0.014312659491845113,0.019051042415528397,0.01532334862782443,0.017956252040483185,0.03078764142732811,0.022600896860986548,0.010080874814899192,0.004541326067211626,0.015699884316641877,0.001589825119236884
10,0.02813599062133646,0.03166606693055056,0.02909752216412821,0.04227227338289138,0.03639468008626887,0.03506189940264912,0.03388834476003918,0.04046997389033943,0.03497757847533632,0.034343319284656566,0.04450499545867393,0.028342422740042967,0.019077901430842606
11,0.053536537710042985,0.046779417056495146,0.06808365537622187,0.046710307333851106,0.053468727534148094,0.04519089256341442,0.05661116552399608,0.043733681462140996,0.042869955156950676,0.05108782321448912,0.03905540417801998,0.056436952569823166,0.0397456279809221
12,0.02403282532239156,0.028907280796449563,0.033644010002273246,0.033174303783423946,0.02579079798705967,0.021816292961648342,0.0227881162259223,0.020234986945169713,0.02242152466367713,0.026882332839731175,0.009082652134423252,0.0303255660221451,0.0047694753577106515
13,0.037905431809300505,0.02674823077845748,0.03102977949533985,0.03894374791967158,0.03136232925952552,0.03255129426023721,0.03081945804766569,0.020343777197563098,0.024394618834080718,0.025800205034741997,0.01634877384196185,0.02982978020161957,0.01589825119236884
14,0.04025009769441188,0.03670385030586542,0.032280063650829735,0.035837124153999776,0.050772825305535584,0.054367587221885554,0.06281423441070845,0.06277197563098347,0.05937219730941704,0.0693700877093063,0.025431425976385105,0.06676582383077177,0.033386327503974564
15,0.03341148886283705,0.03142617248410699,0.027392589224823825,0.034061910573615885,0.04403306973400432,0.037226214180590425,0.02781586679725759,0.030352480417754568,0.03730941704035874,0.032862512814671375,0.035422343324250684,0.030077673111882332,0.019077901430842606
16,0.019343493552168817,0.015713086242053496,0.011252557399408957,0.011427937423721292,0.015546369518332135,0.0121201627564713,0.013973228860594189,0.014142732811140122,0.010762331838565023,0.01110604852488894,0.0009082652134423251,0.008345727978846472,0.003179650238473768
17,0.0738569753810082,0.17152452920714886,0.09297567629006592,0.0662376567180739,0.08159597411933861,0.07627045277465154,0.0584394384590271,0.04199303742384682,0.0737219730941704,0.08953183733910468,0.4713896457765668,0.1109733928276318,0.3036565977742448
18,0.04064087534193044,0.0375434808684179,0.02887019777222096,0.04260512592921336,0.03262041696621136,0.04086226300753182,0.04172380019588639,0.03241949521322889,0.026905829596412557,0.020332611914796673,0.013623978201634877,0.02057511155180962,0.1271860095389507
19,0.03634232121922626,0.028427491903562432,0.025687656285519438,0.029734827471430157,0.03432782171099928,0.03488875422041382,0.027881162259222984,0.028720626631853787,0.02780269058295964,0.025572388654744278,0.007266121707538601,0.01900512312014543,0.009538950715421303
20,0.028722157092614303,0.026628283555235697,0.025801318481473063,0.032841451237101964,0.03378864126527678,0.024759761059648517,0.023506366307541625,0.020561357702349868,0.024035874439461882,0.030185670349698143,0.01634877384196185,0.019583539910758552,0.02066772655007949
21,0.018952715904650252,0.013314141777617848,0.014321436690156853,0.013979806945523133,0.02102803738317757,0.023201454419530778,0.019458047665687234,0.029482158398607485,0.03390134529147982,0.030470440824695296,0.014532243415077202,0.03222607833415964,0.009538950715421303
22,0.021297381789761625,0.01583303346527528,0.012957490338713344,0.019416398535448798,0.020938173975557153,0.021816292961648342,0.022657525301991513,0.030678851174934726,0.03192825112107623,0.02728101150472719,0.01634877384196185,0.030573458932407867,0.006359300476947536
23,0.04318093005080109,0.02782775578745352,0.03046146851557172,0.03739043603683568,0.021746944644140905,0.01965197818370704,0.023898139079333986,0.026871192341166233,0.015426008968609866,0.01628887116983711,0.008174386920980926,0.016608824987605353,0.003179650238473768
24,0.0369284876905041,0.02482907520690896,0.01852693794044101,0.018195939198934873,0.026869158878504672,0.02259544628170721,0.0227881162259223,0.021866840731070498,0.026188340807174887,0.01623191707483768,0.004541326067211626,0.013634110064452157,0.0047694753577106515
25,0.03028526768268855,0.03430490584142977,0.0206865196635599,0.030733385110396094,0.025251617541337167,0.024326898104060253,0.022135161606268366,0.024586597040905135,0.021883408071748878,0.02118692333978813,0.01634877384196185,0.020988266402247564,0.014308426073131956
26,0.03008987885892927,0.028907280796449563,0.025687656285519438,0.027293908798402308,0.027677929547088427,0.02536576919747208,0.028142344107084556,0.026000870322019146,0.031031390134529147,0.030356532634696436,0.014532243415077202,0.02900347050074368,0.02066772655007949
27,0.03946854239937476,0.03982247810963176,0.06251420777449421,0.05713968711860646,0.054636951833213515,0.052809280581767815,0.07091087169441723,0.05624456048738033,0.06780269058295964,0.05547328852944527,0.029064486830154404,0.06974053875392497,0.1987281399046105
28,0.026963657678780773,0.02482907520690896,0.027051602636962945,0.029069122378786196,0.03280014378145219,0.048220933252532246,0.03552073130917401,0.044821583986074845,0.04753363228699552,0.040437407449595626,0.02089009990917348,0.04280284250537101,0.006359300476947536
29,0.03673309886674482,0.038982847547079286,0.05512616503750852,0.06890047708864973,0.04735801581595974,0.06769976625400398,0.057590597453476985,0.06135770234986945,0.07605381165919282,0.0893609750541064,0.05722070844686648,0.10138820029747149,0.04292527821939587
30,0.03673309886674482,0.026988125224901044,0.12241418504205501,0.018750693442804837,0.01689432063263839,0.02294173664617782,0.024420502775057133,0.03633594429939078,0.017040358744394617,0.01486501879485135,0.008174386920980926,0.01280780036357627,0.003179650238473768
