,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII
1,0.3020711215318484,0.3380112750389829,0.24812457376676517,0.18484411405747253,0.1832314881380302,0.129166305947537,0.07952987267384917,0.07560922541340295,0.09757847533632287,0.13589247066864107,0.48047229791099,0.11923648983639068,0.492845786963434
2,0.059398202422821414,0.1574907040902003,0.3343941804955672,0.3574836347498058,0.23490294751976995,0.23746861743571984,0.28743062357166177,0.19049173194081812,0.16125560538116593,0.08924706686410754,0.05812897366030881,0.06825318129234838,0.057233704292527825
3,0.008597108245408363,0.00791651673263764,0.007047056149124801,0.005547542438699656,0.01123292595255212,0.002943468098000173,0.0014365001632386549,0.0028285465622280245,0.0016143497757847534,0.0018225310399817747,0.0009082652134423251,0.0022310361923648984,0.0047694753577106515
4,0.3120359515435717,0.09787693414897446,0.1236644691975449,0.1433484966159991,0.2293314162473041,0.20379187949095318,0.2561540972902383,0.293733681462141,0.14134529147982064,0.01702927440482971,0.009082652134423252,0.014873574615765989,0.0047694753577106515
5,0.0023446658851113715,0.0022789972412138658,0.0015912707433507615,0.0011095084877399313,0.003055355859094177,0.0032897584624707816,0.0033300685602350635,0.0015230635335073978,0.0026905829596412557,0.0013099441849869005,0.0009082652134423251,0.001487357461576599,0.001589825119236884
6,0.04435326299335678,0.05193714765503179,0.03409865878608775,0.031399090203040055,0.05095255212077642,0.22076010735001297,0.21645445641527913,0.2950391644908616,0.40340807174887894,0.5187378972548127,0.25703905540417804,0.4845480085936209,0.13672496025437203
7,0.0029308323563892145,0.006836991723641598,0.005910434189588543,0.0065461000776655945,0.008447160316319195,0.007964678382823998,0.007900750897812602,0.009247171453437772,0.0073542600896860984,0.003360291604966397,0.007266121707538601,0.012559907453313502,0.001589825119236884
8,0.0007815552950371239,0.0028787333573227778,0.0028415548988406456,0.0031066237656718074,0.0025161754133716753,0.0012120162756471301,0.0013712047012732615,0.0019582245430809398,0.003587443946188341,0.00615104225993849,,0.005371013055693274,0.001589825119236884
9,0.021297381789761625,0.01139498620606933,0.01034325983177995,0.010762232331077332,0.013209920920201294,0.007704960609471042,0.008161932745674175,0.006636205395996519,0.011121076233183856,0.007233170064927668,0.009082652134423252,0.00917203767972236,0.003179650238473768
10,0.0015631105900742479,0.00443804725920595,0.0037508524664696522,0.00355042716076778,0.0010783608914450035,0.0019911695957059994,0.0010447273914462945,0.0020670147954743256,0.003766816143497758,0.0017086228499829138,0.0018165304268846503,0.0019005123120145431,0.003179650238473768
11,0.00039077764751856197,0.0029986805805445604,0.0014776085473971357,0.0015533118828359037,0.0018871315600287562,0.0016448792312353908,0.001632386549134835,0.0014142732811140122,0.0012556053811659193,0.0021642556099783572,0.0009082652134423251,0.0015699884316641877,0.0047694753577106515
12,0.043962485345838215,0.03322538083243373,0.034325983177995,0.03195384444691002,0.03675413371675054,0.015063630854471474,0.008292523669604963,0.010008703220191472,0.0157847533632287,0.006834491399931655,0.0009082652134423251,0.006032060816393984,0.003179650238473768
13,0.011137162954279016,0.00947583063452081,0.006024096385542169,0.00676800177521358,0.010603882099209202,0.005280928058176781,0.004766568723473719,0.00805047867711053,0.008609865470852018,0.007802711014921973,0.006357856494096276,0.014295157825152867,0.00794912559618442
14,0.007815552950371238,0.004917836152093079,0.004773812230052284,0.010984134028625319,0.00826743350107836,0.009436412431824085,0.014822069866144302,0.006092254134029591,0.008071748878923767,0.005239776739947602,0.004541326067211626,0.010246240290861014,0.025437201907790145
15,0.041227041813208284,0.01991123905481588,0.0242100477381223,0.015755020525907024,0.04088785046728972,0.01566963899229504,0.009598432908912831,0.017950391644908616,0.011838565022421525,0.026540608269734593,0.004541326067211626,0.03743182944967774,0.006359300476947536
16,0.0011723329425556857,0.0005997361161089121,0.0005683109797681291,0.00022190169754798624,0.0003594536304816679,0.00043286295558826076,0.0002611818478615736,0.0015230635335073978,0.0021524663677130046,0.011333864904886661,0.011807447774750226,0.014956205585853578,0.0047694753577106515
17,0.0023446658851113715,0.0029986805805445604,0.0036371902705160265,0.0022190169754798626,0.0017074047447879223,0.0014717340490000865,0.0007182500816193274,0.005221932114882507,0.003766816143497758,0.0006834491399931655,0.009082652134423252,0.0022310361923648984,0.014308426073131956
18,0.0019538882375928096,0.0014393666786613889,0.0012502841554898842,0.0011095084877399313,0.0011682242990654205,0.0026837503246472166,0.0039177277179236044,0.0017406440382941688,0.00017937219730941703,0.002107301514978927,0.0027247956403269754,0.0036357626838539082,
19,0.0027354435326299334,0.0033585222502099076,0.00272789270288702,0.0032175746144458006,0.007368799424874191,0.006146653969353303,0.006660137120470127,0.008159268929503917,0.006816143497757847,0.010365645289896343,0.03360581289736603,0.039993389522392994,0.006359300476947536
20,0.0019538882375928096,0.0025188916876574307,0.0017049329393043875,0.0021080661267058693,0.00413371675053918,0.0008657259111765215,0.0010447273914462945,0.001196692776327241,0.0008968609865470852,0.0011390818999886091,0.0027247956403269754,0.0011568335812262437,0.009538950715421303
21,0.08089097303634232,0.1501739234736716,0.06626506024096386,0.10617996227671142,0.04475197699496765,0.05783049086659164,0.024420502775057133,0.006201044386422976,0.009327354260089685,0.03582412575464176,0.014532243415077202,0.01900512312014543,0.00794912559618442
22,0.0015631105900742479,0.006717044500419815,0.01113889520345533,0.011982691667591257,0.01563623292595255,0.01445762271664791,0.006660137120470127,0.0018494342906875544,0.00789237668161435,0.03229297186467707,0.007266121707538601,0.00495785820525533,0.019077901430842606
23,0.009183274716686205,0.008036463955859422,0.008183678108661059,0.007211805170309553,0.009435657800143781,0.0032897584624707816,0.003395364022200457,0.007180156657963447,0.006995515695067265,0.00626495044993735,0.007266121707538601,0.0072715253677078165,0.006359300476947536
24,0.011332551778038297,0.00995561952740794,0.010797908615594454,0.013092200155331189,0.020488856937455068,0.009436412431824085,0.00920666013712047,0.008268059181897302,0.022242152466367713,0.03559630937464404,0.009082652134423252,0.028838208560568502,0.003179650238473768
25,0.0062524423602969914,0.014993402902722802,0.006365082973403046,0.002995672916897814,0.005571531272465852,0.003462903644706086,0.005288932419196866,0.0036988685813751088,0.008071748878923767,0.0028477047499715228,0.009082652134423252,0.00495785820525533,0.0047694753577106515
26,0.007815552950371238,0.02075086961736836,0.02750625142077745,0.0209697104182847,0.019410496046010063,0.009090122067353476,0.015083251714005876,0.005439512619669277,0.015426008968609866,0.014751110604852489,0.01725703905540418,0.04131548504379441,0.030206677265500796
27,0.0011723329425556857,0.005997361161089121,0.0062514207774494205,0.002884722068123821,0.004313443565780014,0.0035494762358237383,0.002220045706823376,0.004242819843342037,0.005739910313901345,0.0036450620799635494,0.004541326067211626,0.00776731118823335,0.11605723370429252
