,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII
1,0.10511918718249316,0.27803766342809166,0.18231416230961583,0.12548540996338622,0.12428109273903666,0.12691541857847805,0.08299053215801502,0.07441253263707572,0.09847533632286995,0.11254129171887459,0.553133514986376,0.15476780697405387,0.4276629570747218
2,0.011332551778038297,0.009715725080964376,0.009433962264150943,0.008210362809275491,0.007458662832494608,0.009436412431824085,0.007574273587985635,0.008159268929503917,0.005022421524663677,0.007517940539924821,0.0027247956403269754,0.007849942158320938,0.001589825119236884
3,0.013091051191871825,0.0170325056974931,0.01773130256876563,0.025185842671696438,0.019230769230769232,0.014977058263353823,0.01436500163238655,0.010661444734551785,0.011121076233183856,0.01486501879485135,0.0009082652134423251,0.004792596265080152,
4,0.0009769441187964048,0.004677941705649514,0.005569447601727665,0.007211805170309553,0.004043853342918764,0.004588347329235564,0.0009794319294809011,0.004351610095735422,0.0053811659192825115,0.044025515434559744,0.03996366939146231,0.0347876384068749,0.006359300476947536
5,0.047088706525986714,0.036583903082643636,0.03705387588088202,0.037057583490513704,0.09363767074047448,0.10613799671024153,0.17662422461638916,0.2040905134899913,0.21775784753363228,0.016972320309830275,0.006357856494096276,0.010411502231036193,0.11446740858505565
6,0.0048847205939820245,0.0073167806165287275,0.008411002500568312,0.013092200155331189,0.009974838245866284,0.01203359016535365,0.024289911851126347,0.018820713664055702,0.03426008968609866,0.02984394577970156,0.009082652134423252,0.010824657081474136,0.0047694753577106515
7,0.4437280187573271,0.16840590140338252,0.1870879745396681,0.1970487074226118,0.2686017253774263,0.27209765388278073,0.2852105778648384,0.31114012184508266,0.14242152466367713,0.00854311424991457,0.0018165304268846503,0.006775739547182284,
8,0.028526768268855023,0.01787213626004558,0.02852921118436008,0.035060468212581825,0.026150251617541337,0.01644879231235391,0.013385569702905649,0.018276762402088774,0.015426008968609866,0.03200820138967992,0.008174386920980926,0.02032721864154685,0.0047694753577106515
9,0.014654161781946073,0.013194194554396065,0.008524664696521937,0.012759347609009208,0.008626887131560028,0.01203359016535365,0.006007182500816193,0.007180156657963447,0.010941704035874439,0.01839617268481604,0.005449591280653951,0.012973062303751446,0.0047694753577106515
10,0.004689331770222743,0.00443804725920595,0.003409865878608775,0.0032175746144458006,0.004223580158159598,0.0022508873690589557,0.0026771139405811295,0.0016318537859007832,0.006816143497757847,0.0035311538899646883,,0.0018178813419269541,
11,0.04904259476357952,0.029027228019671343,0.0550125028415549,0.05514257184067458,0.040977713874910136,0.021123712232707124,0.020763956904995103,0.026979982593559618,0.01811659192825112,0.031039981774689602,0.011807447774750226,0.02313667162452487,0.0047694753577106515
12,0.010550996483001172,0.02494902243013074,0.05228461013866788,0.014645512038167092,0.013659237958303379,0.01246645312094191,0.014103819784524976,0.00587467362924282,0.014529147982062781,0.012985533659870145,0.009082652134423252,0.015865146256817054,0.003179650238473768
13,0.00996483001172333,0.013074247331174283,0.01818595135258013,0.006435149228891601,0.015276779295470885,0.007098952471647477,0.013973228860594189,0.015448215839860748,0.016681614349775786,0.012700763184872992,0.005449591280653951,0.047760700710626346,0.006359300476947536
14,0.01973427119968738,0.012114669545400024,0.021141168447374403,0.012315544213913237,0.015905823148813805,0.011427582027530084,0.007639569049951028,0.009573542210617928,0.022242152466367713,0.004670235789953297,0.0027247956403269754,0.005949429846306396,0.00794912559618442
15,0.005470887065259867,0.016312822358162407,0.015571720845646737,0.01564406967713303,0.01653486700215672,0.01930568781923643,0.018086842964413975,0.018494342906875544,0.005739910313901345,0.030299578539697003,0.010899182561307902,0.005701536936043629,0.02066772655007949
16,0.016412661195779603,0.03922274199352285,0.05819504432825642,0.04659935648507711,0.0248921639108555,0.03341702017141373,0.029382957884427033,0.0073977371627502175,0.012017937219730941,0.016630595739833692,0.030881017257039057,0.037101305569327385,0.0047694753577106515
17,0.0021492770613520907,0.008996041741633681,0.0057967719936349174,0.004659935648507711,0.006560028756290438,0.0031166132802354775,0.0037871367939928176,0.0097911227154047,0.0010762331838565023,0.015890192504841097,0.01907356948228883,0.015038836555941166,0.00794912559618442
18,0.02813599062133646,0.06105313661988725,0.06922027733575813,0.1466770220792189,0.09300862688713156,0.11332352177300667,0.08971596474045054,0.06168407310704961,0.06905829596412556,0.009340471579906594,0.004541326067211626,0.006197322756569162,
