,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.08762886597938144,0.11641443538998836,0.11558669001751314,0.09224598930481283,0.20724729815638906,0.3074165977391784,0.27348066298342544,0.24261725535610887,0.1680954155795751,0.18313021167415008,0.18343815513626835,0.12224517906336088,0.13774354327140914,0.12713708423997513,0.10101010101010101,0.10778039744021556,0.16058185966913863,0.14548022598870056,0.1385999437728423,0.1214121699196326,0.10100586756077116,0.08400954653937948,0.08342760180995475,0.08859962208692,0.07681365576102418,0.06134094151212553,0.07071483474250577,0.07103393843725335,0.08816880180859081,0.09829488465396188,0.09131010145566829,0.10558199913457378,0.6190476190476191,0.1205188679245283,0.095946221226319,0.11439796625837763,0.11967495690716572,0.396271186440678,0.12084870848708487,0.13180849001744524,0.41821069348861833
3,0.01675257731958763,0.017462165308498253,0.0070052539404553416,0.0106951871657754,0.008900190718372537,0.012958367797077475,0.02999210734017364,0.010422698320787493,0.020499440924338426,0.01731879409878127,0.01781970649895178,0.03409090909090909,0.03398278205709107,0.012433944668946224,0.024915824915824916,0.015493432132030987,0.021106674272675412,0.01977401129943503,0.012651110486364914,0.018369690011481057,0.009220452640402346,0.010023866348448688,0.01753393665158371,0.01721604031072853,0.011176590123958545,0.009985734664764621,0.008455034588777863,0.014601420678768745,0.009419743782969104,0.00802407221664995,0.011027790030877812,0.012548680225010819,,0.01509433962264151,0.016092890609085354,0.01733302519066328,0.01058852499384388,0.002711864406779661,0.005996309963099631,0.004458228338825354,0.0010587612493382743
4,0.003865979381443299,,0.0017513134851138354,,0.0006357279084551812,0.005789909015715467,0.0055248618784530384,0.0052113491603937466,0.005590756615728662,0.004169339320076972,0.007861635220125786,0.006887052341597796,0.01042138649750793,0.005595275101025801,0.0026936026936026937,0.0020208824520040417,0.009412435824301199,0.003295668549905838,0.004779308405960078,0.004592422502870264,0.005448449287510477,0.0009546539379474941,0.0005656108597285068,0.0014696619777451185,0.000812842918106076,0.003566333808844508,0.005380476556495004,0.0023677979479084454,0.005651846269781462,0.0050150451354062184,0.004411116012351125,0.006490696668109044,,0.04575471698113207,0.04827867182725606,0.04622140050843541,0.03496675695641468,0.04576271186440678,0.02859778597785978,0.03508431866640822,0.015881418740074114
5,0.04768041237113402,0.051222351571594875,0.04203152364273205,0.04679144385026738,0.04450095359186268,0.03170664460987042,0.040647198105761645,0.030689056166763172,0.030190085724934774,0.03720333547145606,0.05188679245283019,0.03409090909090909,0.04032623470774807,0.034193347839602116,0.052525252525252523,0.10239137756820478,0.09583571021106674,0.09274952919020715,0.09389935338768625,0.10246842709529276,0.14165968147527241,0.15465393794749405,0.1699660633484163,0.17593953390720135,0.1914245072139809,0.19900142653352354,0.1840891621829362,0.19021310181531176,0.23963828183873398,0.19157472417251756,0.23026025584472873,0.21678926871484205,0.047619047619047616,0.027830188679245284,0.016907720513342838,0.014097527155072799,0.008618566855454321,0.00711864406779661,0.011531365313653136,0.01143632486916069,0.03970354685018528
6,0.00902061855670103,0.005820721769499418,0.0035026269702276708,0.00267379679144385,0.008900190718372537,0.008271298593879239,0.005130228887134964,0.010422698320787493,0.01006336190831159,0.007697241821680564,0.0047169811320754715,0.008608815426997245,0.01993656547349343,0.013055641902393535,0.008754208754208754,0.010441226002020883,0.010553337136337706,0.008945386064030132,0.011526567332021367,0.011481056257175661,0.016345347862531435,0.029594272076372316,0.024604072398190045,0.025404157043879907,0.020727494411704937,0.01355206847360913,0.017678708685626442,0.018153117600631413,0.023360964581763375,0.03610832497492478,0.03396559329510366,0.03375162267416703,,0.0330188679245283,0.035037685883071906,0.028195054310145597,0.02216202905688254,0.006440677966101695,0.010378228782287823,0.012017832913355302,0.010587612493382742
7,0.5244845360824743,0.44237485448195574,0.4658493870402802,0.3877005347593583,0.26891290527654166,0.1480562448304384,0.14443567482241515,0.18587145338737696,0.1789042117033172,0.20141116100064144,0.16142557651991615,0.246900826446281,0.19030357951971003,0.1554243083618278,0.28484848484848485,0.2566520714045133,0.24614945807187677,0.2721280602636535,0.2547090244588136,0.25774971297359356,0.3189438390611903,0.32744630071599046,0.2977941176470588,0.2653789628385471,0.2773826458036984,0.37089871611982883,0.3843197540353574,0.3709550118389897,0.15071590052750566,0.17452357071213642,0.15041905602117336,0.12072695802682822,,0.011320754716981131,0.008759421470767977,0.007164317078807488,0.006894853484363458,0.0047457627118644066,0.005765682656826568,0.0077534405892614846,0.0026469031233456856
8,0.03608247422680412,0.023282887077997673,0.03502626970227671,0.02540106951871658,0.01652892561983471,0.01902398676592225,0.019337016574585635,0.007527504342790967,0.0160268356317555,0.028864656831302116,0.05817610062893082,0.05337465564738292,0.0412324422292705,0.020205160087037613,0.013468013468013467,0.02795554058605591,0.02652595550484883,0.008945386064030132,0.016305875737981444,0.019804822043628014,0.018440905280804692,0.010501193317422435,0.013291855203619909,0.010917488977535167,0.017069701280227598,0.024964336661911554,0.013451191391237509,0.016574585635359115,0.02110022607385079,0.020060180541624874,0.015438906043228937,0.013414106447425357,0.047619047619047616,0.02688679245283019,0.026685679364432675,0.03351051536861567,0.042107855208076826,0.01423728813559322,0.014529520295202951,0.02616786198875751,0.010058231868713605
9,0.011597938144329897,0.020954598370197905,0.017513134851138354,0.0066844919786096255,0.004450095359186269,0.015164047422111939,0.01499605367008682,0.011580775911986103,0.01006336190831159,0.004490057729313663,0.012578616352201259,0.005509641873278237,0.019030357951971,0.0167858253030774,0.006060606060606061,0.00740990232401482,0.011409013120365089,0.01647834274952919,0.01208883890919314,0.007749712973593571,0.014249790444258172,0.005250596658711217,0.005938914027149321,0.005878647910980474,0.006502743344848608,0.006419400855920114,0.004996156802459646,0.007892659826361484,0.00904295403165034,0.010030090270812437,0.013233348037053375,0.009086975335352661,,0.016037735849056604,0.0179262578936647,0.020799630228795933,0.018960847081999507,0.012203389830508475,0.013145756457564576,0.010854816824966078,0.009528851244044468
11,0.04252577319587629,0.025611175785797437,0.03152364273204904,0.09224598930481283,0.02288620470438652,0.02839812517231872,0.03472770323599053,0.030110017371163866,0.05218039508013418,0.06029506093649775,0.0639412997903564,0.05303030303030303,0.04259175351155415,0.06403481504507305,0.04781144781144781,0.04648029639609296,0.03365658870507701,0.01694915254237288,0.021928591509699186,0.027554535017221583,0.014249790444258172,0.01909307875894988,0.018947963800904976,0.02246483308838967,0.021133915870757976,0.020684736091298145,0.023059185242121444,0.025256511444356748,0.03579502637528259,0.013039117352056168,0.0176444640494045,0.02077022933794894,,0.021462264150943395,0.036871053167651255,0.029812803327940837,0.035459246491012064,0.01694915254237288,0.023985239852398525,0.02481100988563675,0.007940709370037057
12,0.005154639175257732,0.009313154831199068,0.017513134851138354,0.009358288770053475,0.04513668150031786,0.018748276812792942,0.023283346487766376,0.03184713375796178,0.05367126351099515,0.05676715843489416,0.049266247379454925,0.014807162534435262,0.014952424105120073,0.015542430836182779,0.00808080808080808,0.014146177164028292,0.015972618368511125,0.018832391713747645,0.010402024177677818,0.010045924225028703,0.013411567476948869,0.02052505966587112,0.01498868778280543,0.01448666806634474,0.010363747205852468,0.007132667617689016,0.003843197540353574,0.003946329913180742,0.00904295403165034,0.00802407221664995,0.014556682840758712,0.01730852444829078,,0.008490566037735849,0.013852108372377266,0.016639704183036747,0.012804727899532135,0.010508474576271187,0.014068265682656827,0.018414421399496027,0.010058231868713605
