,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII
0,7632,35130,25244,33013,5642,10339,5239,4251,2471,3066,88.0,2611,192.0
15,481,127,63,13,337,40,463,66,4,13,,32,
