,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,31,,,19.0,,2,11.0,14.0,,44.0,69.0,9.0,12.0,85.0,34,162,,,30,21.0,21.0,,64.0,113.0,145.0,,16.0,5.0,18.0,,41.0,1.0,29.0,33.0,62.0,35.0,,,9.0,,
2,44,22.0,2.0,9.0,120.0,110,99.0,50.0,244.0,259.0,190.0,228.0,303.0,472.0,146,121,203.0,35.0,82,41.0,23.0,12.0,28.0,77.0,97.0,61.0,7.0,21.0,43.0,35.0,24.0,68.0,78.0,79.0,65.0,105.0,41.0,,33.0,17.0,
3,9,32.0,13.0,31.0,37.0,121,99.0,7.0,59.0,121.0,51.0,65.0,158.0,159.0,113,414,245.0,76.0,130,109.0,19.0,51.0,99.0,109.0,130.0,55.0,27.0,106.0,10.0,26.0,97.0,36.0,90.0,9.0,130.0,105.0,34.0,9.0,36.0,42.0,59.0
4,7,3.0,,6.0,5.0,10,2.0,5.0,2.0,19.0,11.0,21.0,50.0,29.0,19,27,,5.0,8,10.0,,9.0,16.0,11.0,,,,8.0,9.0,,,5.0,,,11.0,10.0,,5.0,8.0,,
5,1728,2962.0,1463.0,992.0,11111.0,9388,7906.0,4433.0,6962.0,8954.0,4472.0,8284.0,8200.0,8959.0,6880,9723,8276.0,5581.0,9391,9744.0,10569.0,6084.0,10101.0,10344.0,12651.0,6246.0,9112.0,9175.0,8767.0,5782.0,8899.0,8490.0,7107.0,10105.0,10775.0,9319.0,7693.0,2730.0,7055.0,7874.0,2733.0
8,116,151.0,56.0,241.0,592.0,681,,,147.0,,,,,,12,12,,,2,,,,,,,,,,,,,,,,,,,,,,
11,9,3.0,16.0,28.0,33.0,436,28.0,7.0,,54.0,83.0,11.0,9.0,25.0,19,61,58.0,,114,1.0,,,51.0,65.0,27.0,71.0,15.0,,,33.0,,26.0,,17.0,22.0,24.0,,,40.0,15.0,
12,53,44.0,9.0,17.0,76.0,285,333.0,48.0,139.0,235.0,78.0,101.0,162.0,194.0,55,164,120.0,22.0,84,80.0,52.0,19.0,27.0,45.0,170.0,90.0,116.0,53.0,93.0,35.0,44.0,258.0,68.0,50.0,42.0,183.0,164.0,161.0,132.0,155.0,70.0
15,77,56.0,,,33.0,203,996.0,45.0,65.0,232.0,40.0,136.0,118.0,60.0,27,247,28.0,64.0,97,248.0,201.0,33.0,76.0,169.0,420.0,290.0,126.0,147.0,56.0,70.0,111.0,94.0,66.0,122.0,281.0,323.0,172.0,99.0,115.0,240.0,12.0
