,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII
1,357,2103,1897,2898,1409.0,1624,972.0,918.0,1051.0,1023.0,16.0,710.0,14.0
4,10,1350,509,887,745.0,724,1162.0,558.0,473.0,2121.0,2.0,985.0,14.0
6,187,3030,1592,1889,1765.0,1405,1736.0,3650.0,3179.0,2508.0,69.0,1017.0,47.0
8,10,559,82,25,,34,,,,,,,
9,337,2414,2111,2489,2489.0,1990,1942.0,1699.0,1751.0,2715.0,86.0,1098.0,26.0
11,948,4092,3888,5048,4199.0,3313,2501.0,2129.0,1718.0,2205.0,68.0,1078.0,25.0
12,200,506,209,376,205.0,616,179.0,38.0,57.0,241.0,,279.0,
13,330,2826,1409,2665,1488.0,1476,1472.0,1171.0,1068.0,1944.0,83.0,453.0,14.0
14,5734,18241,13385,16074,12701.0,25918,31288.0,24756.0,22026.0,27167.0,559.0,13967.0,1100.0
